功能ID,功能名称,分类,优先级,代码实现,测试文件,测试覆盖,门禁检查项,门禁集成,状态,备注
GMP-1,数字签名审计链,GMP,P0,"crates/gmp/src/signature/chain.rs, crates/gmp/src/audit_chain.rs","gmp_signature_chain_test.rs, gmp_audit_chain_verify_test.rs",80%,G-QA8,G-S5,已完成,SHA-256哈希链 + ECDSA签名,PR #1012
GMP-2,电子签名 (21 CFR Part 11),GMP,P0,crates/gmp/src/electronic_signature.rs,gmp_electronic_signature_test.rs,85%,G-QA1,G-S6,已完成,21 CFR Part 11合规,PR #1004 #1015 #1017 #1018
GMP-3,Immutable Record / EBR,GMP,P0,crates/gmp/src/immutable_record.rs,gmp_immutable_record_test.rs,80%,G-QA2,G-S7,已完成,PR #1029
GMP-4,Correction Chain,GMP,P0,"crates/gmp/src/correction_chain.rs, crates/gmp/src/correction.rs",gmp_correction_chain_test.rs,80%,G-QA3,G-S8,已完成,PR #1027
GMP-5,Provenance Tracking,GMP,P0,"crates/gmp/src/provenance.rs, crates/gmp/src/provenance_lineage.rs",gmp_provenance_test.rs,75%,G-QA4,G-S9,已完成,PR #1024
GMP-6,Trusted Timestamp (RFC3161),GMP,P0,crates/gmp/src/timestamp.rs,gmp_timestamp_test.rs,70%,G-QA5,G-S10,已完成,PR #1017
GMP-7,审计链验证工具,GMP,P0,crates/gmp/src/audit_chain_verify.rs,gmp_audit_chain_verify_test.rs,85%,G-QA8,G-S5,已完成,PR #1020
GMP-8,HSM/KMS 集成,GMP,P0,"crates/gmp/src/hsm/software_tpm.rs, crates/gmp/src/hsm/mod.rs",gmp_hsm_test.rs,75%,G-QA7,G-S11,已完成,Software Provider已实现,PR #1025
GMP-9,GMP Workflow Engine,GMP,P1,"crates/gmp/src/workflow/engine.rs, definition.rs, instance.rs",gmp_workflow_test.rs,80%,G-QA6,G-S12,已完成,PR #1046
GMP-10,移动端可信采集,GMP,P1,"crates/gmp/src/mobile/collection.rs, device.rs",gmp_mobile_test.rs,70%,G-QA10,G-S14,已完成,PR #1046
GMP-11,SOP/培训绑定,GMP,P1,"crates/gmp/src/sop/training.rs, training_binding.rs",gmp_sop_test.rs,65%,N/A,N/A,已完成,N/A
GMP-12,Device Calibration,GMP,P1,crates/gmp/src/calibration/,gmp_calibration_test.rs,70%,N/A,N/A,已完成,N/A
PERF-1,Point SELECT QPS ≥1M,性能,P0,"storage/buffer_pool.rs, executor/",qps_benchmark_test.rs,60%,G9,G-S2,进行中,目标≥1M ops/s
PERF-2,TPC-H SF=10,性能,P0,"optimizer/, executor/",tpch_sf10_test.rs,50%,G8,G-S2,进行中,22/22查询
PERF-3,并发增强 200+,性能,P0,network/connection.rs,concurrency_stress_test.rs,70%,G9,G-S16,已完成,PR #1013
PERF-4,死锁检测优化,性能,P1,transaction/deadlock.rs,gap_locking_e2e_test.rs,65%,G9,G-S17,进行中,目标<50ms
PERF-5,内存优化 -15%,性能,P1,storage/page_manager.rs,memory_footprint_test.rs,60%,G9,G-S2,进行中,目标≤85%
SQL-1,RECURSIVE CTE,SQL,P0,"parser/cte.rs, planner/",recursive_cte_test.rs,75%,G7,G-S18,进行中,完整递归支持
SQL-2,Performance Schema,SQL,P1,information_schema/,"ps_setup_actors_test.rs, ps_*.rs",60%,G7,G-S1,已完成,≥60%覆盖
SQL-3,冷存储集成,SQL,P1,storage/tier_manager.rs,cold_storage_test.rs,50%,G7,G-S1,进行中,S3/OSS支持
SQL-4,组复制,SQL,P2,distributed/,N/A,N/A,N/A,N/A,规划中,v3.3.0目标
SQL-5,自动故障转移,SQL,P2,distributed/failover.rs,N/A,N/A,N/A,N/A,规划中,v3.3.0目标
SQL-6,地理分布,SQL,P2,distributed/geo_*,N/A,N/A,N/A,N/A,规划中,v3.3.0目标
SQL-7,DCL 权限链完善,SQL,P1,"network/auth.rs, catalog/",auth_rls_test.rs,80%,G7,G-S1,已完成,100% DCL
SQL-8,FULLTEXT 完善,SQL,P1,"parser/lexer.rs, storage/",fulltext_test.rs,70%,G7,G-S1,已完成,中英文支持
OO-1,数字签名审计链设计文档,OO,P0,docs/releases/v3.2.0/oo/GMP/DIGITAL_SIGNATURE_CHAIN.md,N/A,N/A,G11,Docs,已完成,设计文档
OO-2,电子签名设计文档,OO,P0,docs/releases/v3.2.0/oo/GMP/ELECTRONIC_SIGNATURE.md,N/A,N/A,G11,Docs,已完成,设计文档
OO-3,Immutable Record 设计文档,OO,P0,docs/releases/v3.2.0/oo/GMP/IMMUTABLE_RECORD.md,N/A,N/A,G11,Docs,已完成,设计文档
OO-4,Correction Chain 设计文档,OO,P0,docs/releases/v3.2.0/oo/GMP/CORRECTION_CHAIN.md,N/A,N/A,G11,Docs,已完成,设计文档
OO-5,Provenance Tracking 设计文档,OO,P0,docs/releases/v3.2.0/oo/GMP/PROVENANCE_TRACKING.md,N/A,N/A,G11,Docs,已完成,设计文档
OO-6,HSM/KMS 集成设计文档,OO,P0,docs/releases/v3.2.0/oo/GMP/HSM_KMS_INTEGRATION.md,N/A,N/A,G11,Docs,已完成,设计文档
OO-7,GMP Workflow Engine 设计文档,OO,P1,docs/releases/v3.2.0/oo/GMP/GMP_WORKFLOW_ENGINE.md,N/A,N/A,G11,Docs,已完成,设计文档
OO-8,Trusted Timestamp 设计文档,OO,P1,docs/releases/v3.2.0/oo/GMP/TRUSTED_TIMESTAMP.md,N/A,N/A,G11,Docs,已完成,设计文档
